Id,Label,modularity_class
LibraLuv,LibraLuv∏è,9
Farida Farichah,Farida Farichah,9
Bumi Nusantara,Bumi Nusantara,9
DinamitBMW,DinamitBMW,9
Reswara Syailendra,Reswara Syailendra,9
ARIE KRITING,ARIE KRITING,9
Radesa,Radesa,9
Pujo Jati,Pujo Jati,9
Lilimon,Lilimon,9
sidiq,sidiq,0
Januar the sinner,Januar the sinner,1
Ramin R AMIN,Ramin R AMIN,9
Fraksi PKB DPR RI,Fraksi PKB DPR RI,9
PresidenBekas,PresidenBekas,9
222 Mountains For Palestine,222 Mountains For Palestine,9
Dyah,Dyah,9
Iis Kuraesin,Iis Kuraesin,9
po_afo,po_afo,9
The Killing Joke,The Killing Joke,9
AMIN NOMOR 1,AMIN NOMOR 1,9
HANSMA'RUF,HANSMA'RUF,9
Yon 06,Yon 06,9
Sendhal Jepit,Sendhal Jepit,9
m waliyul hakim,m waliyul hakim,9
NTB_INDONESIA,NTB_INDONESIA,9
Mas Alfin Chusnul,Mas Alfin Chusnul,9
Monata,Monata,9
Teguh_Sejati,Teguh_Sejati,9
MangElonBageur,MangElonBageur,9
Maghfuri Ridlwan,Maghfuri Ridlwan,9
zidane,zidane,9
tong_sologoto,tong_sologoto,9
Salman Al Farizi,Salman Al Farizi,9
Christopher Jaya Wiguna,Christopher Jaya Wiguna,9
Sukma,Sukma,9
Kopi_robusta,Kopi_robusta,9
Farid,Farid,9
Taufik Nurrohim,Taufik Nurrohim,9
Ricky Habibulloh,Ricky Habibulloh,12
Arina Yasmine,Arina Yasmine,9
Free Palestine,Free Palestine,9
Bosman Batubara,Bosman Batubara,9
tatak ujiyati,tatak ujiyati,9
Olivia Nieke Yuliane,Olivia Nieke Yuliane,9
juanjune1998,juanjune1998,9
Ricky Garing,Ricky Garing,9
Yasir Muhammad,Yasir Muhammad,9
friezchka,friezchka,9
FIGHTER FOR LIFE,FIGHTER FOR LIFE,9
Agus AS,Agus AS,9
Putra Erlangga,Putra Erlangga,9
Romitsu Top,Romitsu Top,9
ngehe,ngehe,1
maga laksana,maga laksana,9
SyabillalNovian,SyabillalNovian,9
berharap perubahan,berharap perubahan,5
AyatuArmad,AyatuArmad,9
maulana,maulana,9
Satu Sobat Yang Setia,Satu Sobat Yang Setia,9
agungtri,agungtri,9
arie putra,arie putra,9
TIRTA,TIRTA,5
Institute for Essential Services Reform,Institute for Essential Services Reform,14
Trend Asia,Trend Asia,14
Yepry Rinaldi Banten,Yepry Rinaldi Banten,9
Riefat Dhaniswara,Riefat Dhaniswara,9
Anggara Natura,Anggara Natura,9
Agus,Agus,9
Aslam,Aslam,9
Backpacker Indonesia,Backpacker Indonesia,9
Sukitman Sudjatmiko,Sukitman Sudjatmiko,12
Nurse,Nurse,9
