Id,Label,modularity_class;
Firza Husain ‚§¥Ô∏è,Firza Husain ‚§¥Ô∏è,14;
BUROQ_1,BUROQ_1,14;
Sarwani,Sarwani,14;
Candra Asmara,Candra Asmara,14;
iNews,iNews,14;
kikiyaa,kikiyaa,14;
NKRI Jaya,NKRI Jaya,14;
Yulia,Yulia,14;
Raz,Raz,14;
herisan,herisan,14;
Solid,Solid,14;
Skidz,Skidz,14;
ndreas,ndreas,14;
IG: Nong Andah Darol Mahmada,IG: Nong Andah Darol Mahmada,18;
Info Jateng,Info Jateng,14;
Okezone,Okezone,14;
Tiger Shark,TÔger Shark,14;
Diandra Sari,Diandra Sari,19;
Septian Raharjo,Septian Raharjo,20;
Teddy Gusnaidi,Teddy Gusnaidi,14;
Jeni_Ly again,Jeni_Ly again,14;
Beril Huliselan,Beril Huliselan,14;
Muhammad Arbie,Muhammad Arbie,0;
Deko,Deko,14;
HaHaHiHi,HaHaHiHi,14;
Den Ayoe Nyimas,Den Ayoe Nyimas,14;
N3wbed,N3wbed,14;
Mohamad Guntur Romli,Mohamad Guntur Romli,14;
nephilaXmus,nephilaXmus,0;
SeputariNewsRCTI,SeputariNewsRCTI,14;
IndonesiaMaju,IndonesiaMaju,14;
Arsjad Rasjid,Arsjad Rasjid,14;
Cyril Raoul Hakim,Cyril Raoul Hakim,14;
Jamaah Anfieldiyah,Jamaah Anfieldiyah,14;
Sam Pandiangan,Sam Pandiangan,14;
Iskandar,Iskandar,14;
Bonnie Triyana,Bonnie Triyana,14;
Nico Valent Dwicahyo,Nico Valent Dwicahyo,14;
Faradilla Alfath,Faradilla Alfath,14;
Laila Nirmala,Laila Nirmala,14;
Tanah Airku,Tanah Airku,14;
Wanta,Wanta,14;
Joy Boy,Joy Boy,14;
Mas,Mas,14;
kiwi kiwil,kiwi kiwil,14;
Bang Arief,Bang Arief,14;
alpann,alpann,14;
Safitri Hariyani S,Safitri Hariyani S,14;
Kaka,Kaka,14;
satria bumi,satria bumi,14;
mas djawir,mas djawi,14;
starryshi,starryshi,14;
weddi s,weddie s,14;
Harya,Harya,14;
Galih Kadarwinata,Galih Kadarwinata,14;
AKU ADALAH AKU,AKU ADALAH AKU,14;
M.Tuhasan,M.Tuhasan,14;
AMIN MENUJU PERUBAHAN,AMIN MENUJU PERUBAHAN,16;
b3doel,b3doel,14;
garong_bukan,garong_bukan,17;
geloraco,geloraco,15;
Elang Bintang,Elang Bintang,15;
Muis,Muis,15;
gibran_rakabumi,gibran_rakabumi,6;
Gerindra Jawa Tengah,Gerindra Jawa Tengah,6;
gibran_tweet,gibran_tweet,16;
Rian Safio,Rian Safio,16;
FADLI ZON,FADLI ZON,0;
Cah no,Cah no,20;
Didin R,Didin R,16;
Malik Fajar Ramadhan,Malik Fajar Ramadhan,16;
Ciput,Ciput,16;
Fadhli Erlanda Arlan,Fadhli Erlanda Arlan,16;
"Tri Winarno, SST. OT,""Tri Winarno, SST. OT"",16";
Sang Arjuna,Sang Arjuna,16;
Raisa Tjokrodinata,Raisa Tjokrodinata,16;
Muhammad Eko Prasetyo,Muhammad Eko Prasetyo,16;
MelawanLupa,MelawanLupa,18;
pengepul meme,pengepul meme,16;
helen siagian,helen siagian,18;
Sujaji,Sujaji,16;
Prabowo Gibran The Winner,Prabowo Gibran The Winner,16;
Keliex Tea,Keliex Tea,16;
TUKANG MAIDO,TUKANG MAIDO,0;
Golkar Indonesia,Golkar Indonesia,0;
Dedek Prayudi Uki,Dedek Prayudi Uki,16;
Ahmad Jilul Q. Farid,Ahmad Jilul Q. Farid,16;
cathy,cathy,16;
se_tya,se_tya,16;
GP24P,GP24P,16;
B Prasetya,B Prasetya,16;
tidakko,tidakko,16;
sylvi dewajani,sylvi dewajani,18;
Palbapang 2,Palbapang 2,16;
Cakraningrat,Cakraningrat,16;
Abdullah Rasyid,Abdullah Rasyid,16;
Muhammad Amrullah,Muhammad Amrullah,16;
SOERYAW4DI,SOERYAW4DI,0;
Ario Bayu,Ario Bayu,16;
King Faisal,King Faisal,16;
Bang Arman,Bang Arman,16;
Oji,Oji,16;
Bahlil Lahadalia,Bahlil Lahadalia,0;
pemkot solo,pemkot solo,16;
Don Muzakir,Don Muzakir,18;
Dedy Nur,Dedy Nur,18;
IDN Times,IDN Times,16;
ANAK WAYANG,ANAK WAYANG,16;
Arief Poyuono,Arief Poyuono,0;
Rajtar,Rajtar,16;
kemang satu,kemang satu,16;
BABEH ALDO SEMENTARA DIMARI,BABEH ALDO SEMENTARA DIMARI,16;
Latifa W Yantikumala,Latifa W Yantikumala,16;
Tukang Kritik Pedas,Tukang Kritik Pedas,16;
gokskilmen,gokskilmen,16;
Mulyadi_Adi__,Mulyadi_Adi__,18;
asifa,asifa,18;
Anak ogi,Anak ogi,18;
Satpol PP Kota Surakarta,Satpol PP Kota Surakarta,16;
Orang Ulu Borneo,Orang Ulu Borneo,16;
Wak 9313,Wak 9313,16;
Gibran Rakabuming,Gibran Rakabuming,16;
Lee,Lee,16;
Bli Saka,Bli Saka,16;
Mas Dar,Mas Dar,0;
Denny Siregar,Denny Siregar,0;
Miss Tweet,Miss Tweet,2;
Lex Wu,Lex Wu,16;
Bank Joee,Bank Joee,16;
Kompas.com,Kompas.com,16;
The Darkside,The Darkside,20;
Dj mario,Dj mario,16;
Tjeloup,Tjeloup,16;
Bumi Nusantara,Bumi Nusantara,16;
Aki Tulalit,Aki Tulalit,16;
NEGARA GAGAL,NEGARA GAGAL,16;
arichels,arichels,16;
Bena Aji Satria,Bena Aji Satria,16;
Agi Subagio,Agi Subagio,16;
Edy sandoval,Edy sandoval,18;
chal's,chal's,16;
Eko Kuntadhi,Eko Kuntadhi,16;
gibran_tweetTra,gibran_tweetTra,17;
M Eddy Soeparno,M Eddy Soeparno,17;
Partai Gerindra,Partai Gerindra,17;
gibrantweet,gibrantweet,0;
Shahierd Naim,Shahierd Naim,0;
Pedagang Pejuang Indonesia Raya,Pedagang Pejuang Indonesia Raya,0;
hasbipkb,hasbipkb,1;
imanlagi,imanlagi,13;
cahayamata,cahayamata,13;
jokowi,jokowi,18;
ZULkifli Hasan,ZULkifli Hasan,18;
DARKIE NKRI,DARKIE NKRI,18;
Dezilix,Dezilix,18;
Rizmaya,Rizmaya,18;
Ketua Tim Sukses Prabowo Gibran,Ketua Tim Sukses Prabowo Gibran,18;
Djerry Lim NKRI jiwa ragaku,jerry Lim NKRI jiwa ragaku,18;
kaesangp,kaesangp,18;
DPP PSI,DPP PSI,18;
kangdede78,kangdede78,18;
kemendagri,kemendagri,19;
keuangannews_id,keuangannews_id,13;
Bagusokya,Bagusokya,13;
kikysaputrii,kikysaputrii,20;
SJYD,SJYD,20;
kompascom,kompascom,2;
kurawa,kurawa,18;
Hanny Indrina,Hanny Indrina,18;
Anies Mania,Anies Mania,18;
mawardinurullah,mawardinurullah,17;
mazzini_gsp,mazzini_gsp,20;
mohmahfudmd,mohmahfudmd,19;
mahdi wijaya,mahdi wijaya,19;
KotjoNegoro,KotjoNegoro,19;
Sammy,Sammy,19;
thv,thv,19;
nesta suhun,nesta suhun,19;
MD3,MD3,19;
Eka Puspita,Eka Puspita,19;
Laode M Syarif,Laode M Syarif,19;
bonie,bonie,19;
Ambrosius Mulait,Ambrosius Mulait,19;
Anak Gagak,Anak Gagak,19;
Arnold Belau,Arnold Belau,19;
Luthfan The Destroy World,Luthfan The Destroy World,19;
Ganjar Pranowo,Ganjar Pranowo,19;
Hick Matt,Hick Matt,19;
Berry Silalahi,Berry Silalahi,19;
Thomas Eka Prasetya ??,Thomas Eka Prasetya ??,19;
B K Simamora,B K Simamora,19;
Jara_Mbojo,Jara_Mbojo,19;
Negeri para bedebah,Negeri para bedebah,19;
Kiki Taufik,Kiki Taufik,19;
Rakyat Jelata,Rakyat Jelata,19;
ErrorBoy,ErrorBoy,19;
Kolonials NKRI,Kolonials NKRI,19;
Andy R. Wijaya,Andy R. Wijaya,19;
Dianawati Seri,Dianawati Seri,19;
Ba Bir,Ba Bir,19;
Ruben Diaz,Ruben Diaz,19;
Achmad Hidayat Lovers,Achmad Hidayat Lovers,19;
dedy,dedy,19;
Hooman,Hooman,19;
Ibnu Fatwa,Ibnu Fatwa,19;
Prima Sp Vardhana,Prima Sp Vardhana,19;
Heni,Heni Free,19;
Ucok Kalimatua Siregar,Ucok Kalimatua Siregar,19;
novel baswedan,novel baswedan,19;
Yuni Satia Rahayu,Yuni Satia Rahayu,19;
G.Harahap,G.Harahap,19;
Muhammad Farraz,Muhammad Farraz,19;
Zink Zank,Zink Zank,19;
hasratsenja,hasratsenja,19;
Frans Dipo,Frans Dipo,19;
Sangrewok,Sangrewok,19;
DELIN,DELIN,19;
BC4LIFE,BC4LIFE,19;
samsudin ali,samsudin ali,19;
MASINTON PASARIBU,MASINTON PASARIBU,19;
Prastowo Yustinus,Prastowo Yustinus,19;
Stella K. Suwardi,Stella K. Suwardi,19;
Murtadha,Murtadha,19;
Ibdilillah Ishak,Ibdilillah Ishak,19;
rehan,rehan,19;
Supariyanto,Supariyanto,19;
Leo,Leo,19;
Hidri Rafeimalik,Hidri Rafeimalik,19;
Singgih Dwi Putranto,Singgih Dwi Putranto,19;
Bapake Rumi,Bapake Rumi,19;
apaan neh,apaan neh,19;
arie busan,arie busan,19;
Tukang Push,Tukang Push,19;
money,money,19;
BARIKADE GUS DUR,BARIKADE GUS DUR,19;
BAJINGAN TOLOL,BAJINGAN TOLOL,19;
tuanku Rakyat,tuanku Rakyat,19;
Kyoko Hisashi,Kyoko Hisashi,19;
Laskar Tugiman,Laskar Tugiman,19;
Davaryan,Davaryan,19;
