Id,Label,modularity_class
??IngetHutang ????,??IngetHutang ????,13
Mucesa,Mucesa,13
iggna,iggna,18
DPC PKB Buru Selatan,DPC PKB Buru Selatan,13
Sigit Widodo,Sigit Widodo,19
cakimiNOWTransl,cakimiNOWTransl,14
Zubed,Zubed,14
Dahnil A Simanjuntak,Dahnil A Simanjuntak,14
cakiminnow,cakiminnow,17
HAPOSAN MANURUNG,HAPOSAN MANURUNG,17
cakiminow,cakiminow,14
Artur e Diana,Artur e Diana,14
BALADAMINSerangBanten,BALADAMINSerangBanten,14
DPC PKB KAB. TEGAL,DPC PKB KAB. TEGAL,14
DPC PKB KAB.KEDIRI,DPC PKB KAB.KEDIRI,14
Mukhit KD,Mukhit KD,14
DPC PKB Temanggung,DPC PKB Temanggung,14
ch_chotimah2,ch_chotimah2,11
coema_coemi,coema_coemi,15
Catatankaqihatilagi,Catatankaqihatilagi,15
defend_id,defend_id,3
descha05,descha05,10
maulana??????,maulana??????,10
dydyaa2,dydyaa2,13
パレスチナとともに立つ,パレスチナとともに立つ,13
fadlizon,fadlizon,17
Haris FZ,Haris FZ,17
feryfarhati,feryfarhati,13
ganjarpr,ganjarpr,1
Bappilu Hanura Official,Bappilu Hanura Official,1
ganjarpranowo,ganjarpranowo,0
Tita,Tita,0
eL. krova,eL. krova,19
AirinNz_KembaliLagi,AirinNz_KembaliLagi,0
??❤??,??❤??,0
Anton Kurniawan,Anton Kurniawan,0
Firza Husain ⤴️,Firza Husain ⤴️,0
BUROQ_1,BUROQ_1,0
Sarwani ?️,Sarwani ?️,0
Candra Asmara,Candra Asmara,0
iNews,iNews,0
kikiyaa,kikiyaa,0
????? ??????,????? ??????,17
NKRI Jaya,NKRI Jaya,0
Yulia,Yulia,0
Raz,Raz,0
@herisan,@herisan,0
Solid,Solid,0
Skidz,Skidz,0
?️ndreas??,?️ndreas??,0
IG: Nong Andah Darol Mahmada,IG: Nong Andah Darol Mahmada,19
Info Jateng,Info Jateng,0
Okezone,Okezone,0
Tℹ️ger Shark,Tℹ️ger Shark,0
Diandra Sari,Diandra Sari,18
Septian Raharjo,Septian Raharjo,10
Teddy Gusnaidi,Teddy Gusnaidi,0
Jeni_Ly again,Jeni_Ly again,0
Beril Huliselan ?? ??,Beril Huliselan ?? ??,0
Muhammad Arbie,Muhammad Arbie,17
Deko,Deko,0
